,PCC,SSIM,RMSE,JS,Rank_PCC,Rank_SSIM,Rank_RMSE,Rank_JS,AS
Rbm25,0.7846704238627052,0.7060780947228521,0.2817811281752543,inf,45.0,47.0,20.0,1.0,0.7144642857142857
Rnf125,0.7906814098994371,0.7209136245342805,0.25394935051340195,inf,38.0,43.0,10.0,1.0,0.6207142857142857
Ptp4a2,0.7543229587536757,0.6933030236782783,0.4624332258344261,inf,48.0,50.0,46.0,1.0,0.8573214285714286
Rab8a,0.7660794279966581,0.6859079223436251,0.32221603698438067,inf,47.0,52.0,29.0,1.0,0.7858928571428571
Nudc,0.8272753280125531,0.7763084122741601,0.256526224416893,inf,8.0,12.0,11.0,1.0,0.35285714285714287
Ftl1,0.7443314640332084,0.7109186852534756,0.6464106824446936,inf,52.0,46.0,53.0,1.0,0.8885714285714286
F8,0.8227658495617383,0.7660835061980379,0.24417154422863177,inf,13.0,17.0,5.0,1.0,0.3707142857142857
BC048546,0.8446883753039113,0.803757012839268,0.23904234095744772,inf,2.0,2.0,3.0,1.0,0.24571428571428572
Ttc39c,0.7482450173811448,0.6891602759066633,0.5478251047293325,inf,50.0,51.0,49.0,1.0,0.8841071428571429
Mapk1,0.8413660624566104,0.803063159149243,0.2638012352872654,inf,3.0,3.0,14.0,1.0,0.30374999999999996
Pdia6,0.7514376041462045,0.7026096639880599,0.5659733453339674,inf,49.0,49.0,50.0,1.0,0.8751785714285714
Echdc1,0.804368894613248,0.7513714299672439,0.3237501127906415,inf,27.0,27.0,33.0,1.0,0.6028571428571429
Slc6a6,0.8243854392410149,0.7816509117699799,0.31943278691617805,inf,11.0,7.0,26.0,1.0,0.41089285714285717
Gstm3,0.7975602173051065,0.7355991917240456,0.3349020959272593,inf,32.0,35.0,36.0,1.0,0.6742857142857143
Gnb1,0.8208108357660687,0.7701902682650903,0.286423233220126,inf,16.0,15.0,23.0,1.0,0.45553571428571427
Pdha1,0.8132833436430309,0.762431455049495,0.32370368516598413,inf,22.0,21.0,32.0,1.0,0.5492857142857143
Srpr,0.7941552468145997,0.7337203003049806,0.34713193830032474,inf,36.0,37.0,38.0,1.0,0.71
Ddx3y,0.800539912863803,0.7400364027565134,0.3219345369007897,inf,30.0,30.0,28.0,1.0,0.6073214285714286
Ssr4,0.7979512770402336,0.7582904110573716,0.46455609496660555,inf,31.0,23.0,47.0,1.0,0.6653571428571429
Gm26567,0.8225787416003809,0.7781161191296732,0.31510608319219213,inf,14.0,10.0,25.0,1.0,0.4332142857142857
H2-Ab1,0.7898032307628354,0.7362495363859647,0.4329681502895307,inf,39.0,33.0,45.0,1.0,0.7367857142857143
Cops4,0.8009769574784676,0.7353976326171333,0.24418145829363144,inf,28.0,36.0,6.0,1.0,0.5269642857142857
Prdx5,0.7472410900421422,0.7046898723298711,0.5893026530888329,inf,51.0,48.0,52.0,1.0,0.8885714285714286
Ulk2,0.8098788889190948,0.7555434673069288,0.28079362626241744,inf,25.0,25.0,19.0,1.0,0.5225
Rxra,0.7908469779722463,0.7370385452449857,0.4048486886638397,inf,37.0,32.0,43.0,1.0,0.7144642857142857
Eif2s2,0.7967328247252297,0.7359041150502756,0.3395161000101674,inf,33.0,34.0,37.0,1.0,0.67875
Uhmk1,0.8193473530378897,0.7610924831086744,0.24289970815553666,inf,19.0,22.0,4.0,1.0,0.41535714285714287
Ankrd17,0.7866497653767343,0.719764371374398,0.32224925292553863,inf,41.0,44.0,30.0,1.0,0.7278571428571429
9530068E07Rik,0.7879578819649443,0.7209718423916648,0.34920143045624713,inf,40.0,42.0,39.0,1.0,0.7546428571428571
Gnai2,0.8165966045086781,0.7655373915102258,0.3224667953395441,inf,20.0,18.0,31.0,1.0,0.5225
Cep85,0.8569654761668537,0.8187615931467115,0.20358504134611674,inf,1.0,1.0,1.0,1.0,0.22785714285714284
Clcn3,0.8281725313748671,0.7804794131916492,0.259101894678845,inf,7.0,9.0,12.0,1.0,0.3394642857142857
Cyp1a2,0.5646736103300976,0.515629825655288,1.1086918941388084,inf,55.0,55.0,55.0,1.0,0.9510714285714286
Phyh,0.379178267878692,0.30939823960602886,1.250657055825573,inf,56.0,56.0,56.0,1.0,0.9644642857142857
Gsta4,0.7848681797259195,0.7287816873758659,0.42645325089989417,inf,44.0,38.0,44.0,1.0,0.7769642857142857
Hint2,0.812112047238424,0.7582501012901327,0.32548886965257423,inf,23.0,24.0,34.0,1.0,0.5760714285714286
Hjurp,0.8199593601617129,0.7664837195974661,0.28535728093371854,inf,17.0,16.0,22.0,1.0,0.45999999999999996
Abca8b,0.8258965735384446,0.7776274172438215,0.24882540068069964,inf,9.0,11.0,9.0,1.0,0.3439285714285714
Rps6,0.8220071816349233,0.7805411460376043,0.33231773122356817,inf,15.0,8.0,35.0,1.0,0.47339285714285717
Pdia3,0.7416414394529713,0.6812601841798095,0.5692959600407326,inf,53.0,53.0,51.0,1.0,0.9153571428571429
Csad,0.7944953384976088,0.739769707183918,0.39991080551831715,inf,35.0,31.0,42.0,1.0,0.6966071428571429
Bgn,0.8067686886566642,0.7499982599144148,0.31982946976970156,inf,26.0,28.0,27.0,1.0,0.5760714285714286
Dock7,0.8400510307905975,0.7931301516437517,0.220979732818028,inf,4.0,5.0,2.0,1.0,0.26357142857142857
Klc4,0.8236055635881525,0.7760083629157771,0.26079228041283337,inf,12.0,13.0,13.0,1.0,0.38410714285714287
Cyp2c38,0.8194626476025808,0.7647261291451999,0.2443438246104052,inf,18.0,19.0,7.0,1.0,0.41089285714285717
