Gene,PCC,SSIM,RMSE,JS,Rank_PCC,Rank_SSIM,Rank_RMSE,Rank_JS,AS
Rbm25,0.8018419566398831,0.7632598451388706,1.1019718102623368,0.3793570459513182,36.0,39.0,23.0,52.0,0.6696428571428571
Rnf125,0.8226396105931466,0.7984672298333826,1.0782931841950525,0.3861214353044866,17.0,15.0,6.0,56.0,0.41964285714285715
Ptp4a2,0.7933525359526573,0.7793160363650953,1.1343771460257677,0.34189868765512493,42.0,26.0,46.0,16.0,0.5803571428571429
Rab8a,0.8124425171882456,0.776005565113326,1.1089256914115082,0.36006355829465797,25.0,30.0,32.0,36.0,0.5491071428571429
Nudc,0.8190557812958944,0.7854413617183232,1.1031787043083299,0.363322469116513,19.0,23.0,26.0,39.0,0.47767857142857145
Ftl1,0.7082627464929201,0.6660952162106224,1.1973614481197494,0.34256233283297116,53.0,53.0,53.0,18.0,0.7901785714285714
F8,0.7886794847749484,0.7660830775578056,1.0745893581583532,0.42370758290902233,44.0,37.0,2.0,57.0,0.625
BC048546,0.8402744626442232,0.8084392108835967,1.0858570319053888,0.3425982422005413,5.0,12.0,10.0,19.0,0.20535714285714285
Ttc39c,0.768824720926726,0.7269990596268012,1.1489677208700237,0.3427482967246494,48.0,48.0,47.0,20.0,0.7276785714285714
Mapk1,0.8072214576025111,0.7558799569152763,1.1034807988020958,0.3701446752297881,30.0,42.0,28.0,46.0,0.6517857142857143
Pdia6,0.7381638608611564,0.7090887624851963,1.1790765481289347,0.3375369604152383,51.0,51.0,50.0,14.0,0.7410714285714286
Echdc1,0.8363159318178285,0.8144939414398441,1.0984775760547005,0.34359165898489863,8.0,6.0,17.0,23.0,0.24107142857142858
Slc6a6,0.8221330463506273,0.7940473629276146,1.099359998204727,0.3461943107545212,18.0,18.0,19.0,26.0,0.36160714285714285
Gstm3,0.8147243859972754,0.813247420583558,1.1100278672132837,0.34864689731847265,23.0,7.0,34.0,27.0,0.40625
Gnb1,0.8419073742693494,0.817768246022413,1.0991631929615722,0.3351694840067072,4.0,4.0,18.0,12.0,0.16964285714285715
Pdha1,0.8420782292515416,0.8183921224652334,1.1015587748495825,0.32613793062294727,3.0,3.0,22.0,8.0,0.16071428571428573
Srpr,0.8387459515653836,0.8154717128234784,1.095806161551699,0.31955789272815427,6.0,5.0,14.0,3.0,0.125
Ddx3y,0.7945990112656106,0.7412024347056274,1.1160918554620112,0.3649279898534788,41.0,45.0,38.0,42.0,0.7410714285714286
Ssr4,0.7551121436269923,0.7210031398866035,1.1633002819642297,0.35007967209971996,49.0,49.0,49.0,31.0,0.7946428571428571
Gm26567,0.8561566720854376,0.8335323158578328,1.0781786295388072,0.31050885773561887,1.0,2.0,5.0,1.0,0.04017857142857143
H2-Ab1,0.8122087479152923,0.7803737996266872,1.129035450510582,0.33499431235013216,27.0,24.0,44.0,11.0,0.4732142857142857
Cops4,0.7960515795576182,0.7724672461205897,1.0877506676634867,0.38088465691743495,38.0,32.0,11.0,53.0,0.5982142857142857
Prdx5,0.7314225607867487,0.718663930921816,1.1889195797326357,0.34227763881784046,52.0,50.0,52.0,17.0,0.7633928571428571
Ulk2,0.7896531159152251,0.7399821307590975,1.1194468047813284,0.38230624254647394,43.0,46.0,39.0,55.0,0.8169642857142857
Rxra,0.8183179614673534,0.7863862071638748,1.1158964315720272,0.32382793151315514,20.0,22.0,37.0,5.0,0.375
Eif2s2,0.8060336046448814,0.7774144171771667,1.1196035350699862,0.35164080344165133,32.0,29.0,40.0,34.0,0.6026785714285714
Uhmk1,0.836347818105459,0.8132265832557108,1.0750536643315336,0.3627501661788257,7.0,8.0,3.0,38.0,0.25
Ankrd17,0.7780770532378778,0.771652745377975,1.1148834361430349,0.37790189140331026,47.0,33.0,35.0,51.0,0.7410714285714286
9530068E07Rik,0.8130138508701674,0.7792626610510892,1.1025895392988245,0.35003135541222496,24.0,27.0,24.0,30.0,0.46875
Gnai2,0.8303653971249627,0.7958808371797962,1.1032269562829666,0.3326143609412032,12.0,17.0,27.0,10.0,0.29464285714285715
Cep85,0.8124396259437038,0.773141006768125,1.0811683174430196,0.3747931782926785,26.0,31.0,8.0,50.0,0.5133928571428571
Clcn3,0.8255854968033942,0.7887769536903302,1.103171785039852,0.3609699418930077,14.0,20.0,25.0,37.0,0.42857142857142855
Cyp1a2,0.547026582003907,0.5025878994020766,1.2856244609083611,0.3256699194722894,55.0,55.0,56.0,7.0,0.7723214285714286
Phyh,0.36366906307213026,0.297904259564666,1.2655875111196055,0.3215971445738915,57.0,57.0,54.0,4.0,0.7678571428571429
Gsta4,0.7843128218499996,0.7483897840265704,1.127550102978153,0.34421295041904065,46.0,44.0,43.0,24.0,0.7008928571428571
Hint2,0.8028991758890599,0.7619133518672607,1.1152860486601555,0.34981966852706153,35.0,40.0,36.0,29.0,0.625
Hjurp,0.7845215312752268,0.7309274936537571,1.108870379927137,0.3724199158177617,45.0,47.0,31.0,48.0,0.7633928571428571
Abca8b,0.8246157495215981,0.8131757770554037,1.0946141223851371,0.3665759662304187,15.0,9.0,13.0,43.0,0.35714285714285715
Rps6,0.8182305588007001,0.7800605682757514,1.1012451175479425,0.34292183348971594,21.0,25.0,21.0,22.0,0.39732142857142855
Pdia3,0.7524232245428342,0.7073075982078547,1.1793306764628926,0.3445231503737543,50.0,52.0,51.0,25.0,0.7946428571428571
Csad,0.8057073314829465,0.7673338022807702,1.133704714068196,0.3370438961659223,33.0,36.0,45.0,13.0,0.5669642857142857
Bgn,0.8231741707706277,0.7959227258970968,1.1090894742346173,0.3577608327557828,16.0,16.0,33.0,35.0,0.44642857142857145
Dock7,0.8323625155730251,0.8094755656487149,1.070251714567051,0.36382725610801847,11.0,11.0,1.0,41.0,0.2857142857142857
Klc4,0.8266589918845558,0.7919751097203375,1.0907002207780199,0.3429107339946004,13.0,19.0,12.0,21.0,0.29017857142857145
Cyp2c38,0.8156711353392413,0.7777803752028062,1.0982652175905818,0.3691141754899989,22.0,28.0,16.0,44.0,0.49107142857142855
2900026A02Rik,0.8329167331660761,0.8017896088023607,1.095883800015494,0.34090636834355187,10.0,14.0,15.0,15.0,0.24107142857142858
Tmbim1,0.7954771500876019,0.7562803387552195,1.077233513338828,0.38132469789632795,39.0,41.0,4.0,54.0,0.6160714285714286
Fau,0.7952566554112168,0.7502827821998085,1.1261118474126284,0.35120742719672693,40.0,43.0,42.0,33.0,0.7053571428571429
Fermt2,0.834839820535399,0.8104868958143722,1.0834900777797787,0.3494326406369601,9.0,10.0,9.0,28.0,0.25
Dcn,0.7995435407371988,0.7640108295149578,1.1558507273060583,0.32465191771672397,37.0,38.0,48.0,6.0,0.5758928571428571
H2-Eb1,0.8062614780562022,0.8022734787363005,1.10480717958203,0.3731711954042089,31.0,13.0,29.0,49.0,0.5446428571428571
Mfn1,0.8471184790385415,0.8385782164527408,1.080759433648075,0.3718576138452183,2.0,1.0,7.0,47.0,0.2544642857142857
Ugt2b1,0.594280291314673,0.5582908693310771,1.2665931948840847,0.3305333334868813,54.0,54.0,55.0,9.0,0.7678571428571429
Ubl3,0.8082432350546067,0.7685398411549144,1.123278567756064,0.3510551903050003,29.0,35.0,41.0,32.0,0.6116071428571429
Ik,0.8087223491845792,0.7704988084942175,1.1073302043521691,0.370070645987793,28.0,34.0,30.0,45.0,0.6116071428571429
Mup17,0.3771492442754929,0.3023480179561981,1.3015082618942144,0.3130323179367449,56.0,56.0,57.0,2.0,0.7633928571428571
Cul4a,0.8034570183949912,0.7881291627760603,1.0996981106511199,0.3635835127414748,34.0,21.0,20.0,40.0,0.5133928571428571
