,Rbm25,Rnf125,Ptp4a2,Rab8a,Nudc,Ftl1,F8,BC048546,Ttc39c,Mapk1,Pdia6,Echdc1,Slc6a6,Gstm3,Gnb1,Pdha1,Srpr,Ddx3y,Ssr4,Gm26567,H2-Ab1,Cops4,Prdx5,Ulk2,Rxra,Eif2s2,Uhmk1,Ankrd17,9530068E07Rik,Gnai2,Cep85,Clcn3,Cyp1a2,Phyh,Gsta4,Hint2,Hjurp,Abca8b,Rps6,Pdia3,Csad,Bgn,Dock7,Klc4,Cyp2c38,2900026A02Rik,Tmbim1,Fau,Fermt2,Dcn,H2-Eb1,Mfn1,Ugt2b1,Ubl3,Ik,Mup17,Cul4a
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2985078,2.83221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.844929,0.0,0.0,0.0,0.0,0.0,0.0,1.2985078,0.0,0.0,0.0,0.0,0.0,0.0,1.2985078,1.2985078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2985078,0.0,0.0,0.0,0.0,0.0,0.0,1.844929,1.2985078,0.0,0.0,1.2985078,0.0,2.196277,0.0
1,0.0,0.0,0.0,0.0,0.0,2.4244494,1.8161277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8161277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2736862,1.2736862,0.0,2.629729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2736862,0.0,0.0,2.7999616,0.0
2,0.0,1.090807,0.0,0.0,0.0,1.090807,0.0,0.0,1.090807,0.0,0.0,0.0,1.090807,0.0,0.0,0.0,0.0,0.0,1.090807,0.0,1.090807,1.090807,1.090807,1.090807,0.0,0.0,0.0,0.0,1.090807,1.9358635,0.0,0.0,1.090807,2.1868038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9358635,0.0,0.0,0.0,0.0,0.0,2.9333289,0.0
3,0.0,0.0,0.0,0.0,0.0,1.1408644,0.0,0.0,1.1408644,0.0,0.0,0.0,0.0,0.0,1.6599302,0.0,0.0,0.0,1.1408644,0.0,1.1408644,1.1408644,0.0,0.0,1.6599302,0.0,0.0,1.6599302,1.6599302,1.1408644,0.0,0.0,1.6599302,1.6599302,0.0,0.0,1.1408644,1.1408644,0.0,1.1408644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1408644,0.0,0.0,2.4550796,0.0
4,1.0815738,0.0,1.0815738,0.0,1.0815738,1.0815738,0.0,0.0,1.0815738,0.0,0.0,1.0815738,1.0815738,1.0815738,0.0,0.0,0.0,0.0,1.5889567,1.0815738,0.0,0.0,1.0815738,1.0815738,1.0815738,0.0,0.0,0.0,0.0,1.9239498,0.0,0.0,0.0,1.0815738,1.0815738,0.0,0.0,0.0,0.0,1.0815738,0.0,0.0,0.0,0.0,1.0815738,1.0815738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0815738,0.0,2.3745885,1.0815738
5,0.0,1.2208469,0.0,1.2208469,0.0,2.561118,0.0,0.0,1.2208469,0.0,1.2208469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2208469,0.0,0.0,0.0,1.7544235,0.0,0.0,0.0,0.0,0.0,0.0,2.357095,2.10049,0.0,1.7544235,0.0,1.2208469,1.2208469,0.0,1.2208469,0.0,0.0,0.0,0.0,0.0,0.0,1.2208469,0.0,1.2208469,0.0,0.0,1.7544235,0.0,0.0,2.10049,0.0
6,0.0,0.0,0.0,0.0,0.0,1.1421701,0.0,0.0,1.1421701,0.0,1.1421701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0015724,1.1421701,0.0,0.0,0.0,0.0,0.0,0.0,2.0015724,1.661484,0.0,0.0,0.0,0.0,1.1421701,2.0015724,0.0,0.0,2.0015724,0.0,1.1421701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1421701,0.0,0.0,0.0,0.0,0.0,0.0,1.661484,0.0
7,1.0735233,1.0735233,0.0,0.0,0.0,1.5792546,0.0,1.0735233,0.0,1.0735233,0.0,1.0735233,0.0,1.0735233,1.0735233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0735233,1.0735233,0.0,0.0,1.0735233,0.0,0.0,2.9085948,1.9135356,0.0,1.0735233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0735233,0.0,1.0735233,0.0,0.0,0.0,1.5792546,0.0,0.0,1.5792546,0.0,0.0,2.9085948,0.0
8,1.1849928,0.0,0.0,0.0,0.0,1.1849928,0.0,0.0,0.0,0.0,1.1849928,2.0556595,0.0,0.0,0.0,0.0,0.0,0.0,1.1849928,0.0,0.0,1.1849928,1.7122338,0.0,0.0,0.0,0.0,0.0,0.0,1.1849928,0.0,1.1849928,2.6826625,2.0556595,0.0,0.0,0.0,0.0,0.0,0.0,1.1849928,0.0,0.0,0.0,0.0,0.0,0.0,1.1849928,1.7122338,1.1849928,0.0,0.0,2.0556595,0.0,0.0,3.1657548,0.0
9,0.0,0.0,1.2428521,1.2428521,0.0,1.2428521,1.7801871,0.0,0.0,0.0,1.2428521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2428521,0.0,1.2428521,0.0,0.0,1.2428521,0.0,0.0,0.0,0.0,0.0,0.0,1.7801871,1.7801871,0.0,0.0,0.0,0.0,1.2428521,1.2428521,1.2428521,1.2428521,0.0,0.0,0.0,0.0,0.0,1.2428521,1.2428521,0.0,0.0,0.0,1.7801871,0.0,0.0,2.7595603,1.2428521
10,0.0,0.0,1.1139097,0.0,0.0,0.0,0.0,1.1139097,1.627767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.627767,0.0,1.627767,1.1139097,1.627767,0.0,0.0,0.0,0.0,0.0,1.1139097,0.0,0.0,0.0,1.1139097,1.1139097,1.1139097,1.1139097,0.0,0.0,0.0,0.0,1.1139097,0.0,0.0,1.1139097,1.1139097,0.0,0.0,1.1139097,0.0,1.1139097,0.0,0.0,1.9655356,0.0,1.627767,2.4186978,0.0
11,0.0,0.0,0.0,0.0,0.0,1.7416917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.210003,0.0,1.210003,1.210003,0.0,0.0,1.210003,0.0,0.0,0.0,0.0,1.210003,0.0,0.0,2.987093,1.7416917,1.210003,0.0,0.0,0.0,1.210003,2.3431492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0869737,0.0,0.0,2.3431492,0.0,0.0,2.987093,0.0
12,0.0,0.0,0.0,0.0,0.0,2.409798,1.1073548,0.0,1.1073548,0.0,1.1073548,0.0,0.0,1.6199198,0.0,1.1073548,0.0,1.1073548,1.1073548,0.0,1.1073548,0.0,0.0,0.0,1.1073548,0.0,0.0,0.0,1.1073548,1.1073548,0.0,0.0,2.7202685,2.9568398,0.0,1.1073548,0.0,0.0,0.0,1.6199198,0.0,0.0,0.0,0.0,1.1073548,0.0,0.0,0.0,1.1073548,1.9571365,0.0,0.0,1.6199198,0.0,0.0,2.7202685,0.0
13,0.0,0.0,0.0,0.0,0.0,1.8447047,0.0,0.0,0.0,1.2983141,0.0,0.0,1.2983141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2983141,1.2983141,0.0,0.0,1.2983141,0.0,0.0,0.0,0.0,0.0,0.0,1.8447047,2.6613483,0.0,0.0,2.1960402,0.0,0.0,0.0,0.0,1.2983141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8447047,0.0,0.0,1.8447047,0.0
14,0.0,1.0982125,1.0982125,1.0982125,0.0,1.6089581,1.0982125,0.0,1.0982125,0.0,1.0982125,1.0982125,0.0,1.0982125,0.0,0.0,0.0,0.0,0.0,0.0,1.0982125,0.0,0.0,0.0,1.0982125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9453961,2.7074904,0.0,1.0982125,0.0,0.0,0.0,0.0,2.39735,0.0,0.0,0.0,0.0,0.0,0.0,1.0982125,1.0982125,0.0,0.0,0.0,2.1966915,0.0,1.0982125,1.9453961,0.0
15,0.0,0.0,0.0,1.1092579,0.0,2.2113936,1.1092579,0.0,1.1092579,0.0,1.1092579,1.1092579,1.1092579,0.0,1.1092579,1.622199,1.1092579,0.0,0.0,1.1092579,0.0,0.0,1.1092579,0.0,1.622199,0.0,0.0,0.0,0.0,0.0,1.1092579,0.0,1.622199,2.412384,1.1092579,0.0,1.1092579,0.0,1.1092579,1.1092579,1.622199,0.0,0.0,1.622199,0.0,0.0,1.622199,0.0,0.0,1.1092579,1.1092579,0.0,1.622199,0.0,0.0,2.412384,1.1092579
16,0.0,0.0,1.8133311,0.0,0.0,2.6266298,0.0,0.0,2.1628923,0.0,1.2712812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8133311,1.2712812,0.0,0.0,0.0,1.2712812,0.0,0.0,1.2712812,0.0,0.0,0.0,1.2712812,2.6266298,3.282946,0.0,0.0,0.0,0.0,0.0,1.2712812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2712812,0.0,0.0,0.0,0.0,2.421405,1.2712812,0.0,2.421405,0.0
17,0.0,0.0,0.0,0.0,0.0,1.6266168,0.0,0.0,1.9643049,0.0,1.6266168,0.0,0.0,0.0,0.0,0.0,0.0,1.1129484,1.1129484,0.0,1.1129484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6266168,3.454731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1129484,0.0,1.1129484,1.1129484,0.0,0.0,0.0,0.0,0.0,0.0,1.6266168,1.1129484,1.1129484,1.6266168,0.0
18,1.1355307,0.0,0.0,0.0,1.1355307,1.6535792,1.1355307,1.1355307,0.0,0.0,1.6535792,0.0,0.0,0.0,1.6535792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6535792,1.6535792,0.0,0.0,0.0,1.6535792,0.0,0.0,1.9931309,2.615712,1.6535792,1.1355307,0.0,0.0,1.9931309,1.9931309,0.0,0.0,0.0,1.9931309,0.0,0.0,0.0,0.0,1.1355307,2.996503,0.0,0.0,0.0,1.1355307,0.0,1.6535792,0.0
19,1.0881886,0.0,0.0,1.0881886,1.0881886,0.0,0.0,1.0881886,1.9324882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0881886,1.0881886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0881886,0.0,0.0,0.0,2.1833022,0.0,0.0,0.0,0.0,1.9324882,0.0,1.0881886,1.0881886,0.0,0.0,1.5969164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9324882,1.0881886,0.0,1.9324882,0.0
